HomeTeam,AwayTeam,FTR,HomeGoals,AwayGoals,StandingDiff,HomeWins,AwayWins,AvgHomeGoals,AvgAwayGoals,AvgHomeShots,AvgAwayShots,AvgHomeShotsOnTarget,AvgAwayShotsOnTarget,AvgHomeCorners,AvgAwayCorners,AvgHomeGoalsConceded,AvgAwayGoalsConceded,AvgHomeShotsConceded,AvgAwayShotsConceded,Year,Day
17,21,2,3,1,-6,20.0,40.0,0.8,1.8,21.8,9.4,12.4,6.0,11.0,3.2,0.6,1.8,7.8,12.4,2011,30
0,23,2,1,0,-14,60.0,20.0,1.8,1.2,15.2,10.4,9.6,5.8,9.4,6.6,0.6,1.8,7.4,16.4,2011,31
3,35,1,1,1,-3,20.0,0.0,1.2,0.8,12.8,7.4,9.2,3.4,5.2,2.4,1.6,2.6,14.6,18.6,2011,31
9,1,0,1,3,-7,40.0,20.0,2.0,0.8,16.8,10.2,9.6,5.0,6.4,6.4,1.8,1.0,9.0,12.6,2011,31
19,2,0,2,3,-14,60.0,0.0,2.4,1.8,17.8,8.4,11.4,5.0,8.4,2.6,1.6,2.4,11.2,18.4,2011,31
22,12,1,1,1,10,40.0,20.0,2.0,0.8,11.2,10.2,6.6,6.6,4.6,3.8,2.0,0.8,15.0,18.2,2011,31
27,34,1,2,2,-3,40.0,40.0,1.6,1.0,10.4,9.6,5.0,5.0,6.6,3.0,1.6,2.2,11.2,14.6,2011,31
29,30,1,1,1,13,40.0,80.0,1.2,2.2,11.6,14.8,6.4,9.8,6.2,7.6,0.6,1.0,10.8,14.4,2011,31
28,18,2,1,0,7,20.0,40.0,1.2,2.2,15.4,13.4,9.4,7.2,5.6,4.0,1.2,1.2,8.4,13.4,2012,1
32,11,0,0,1,4,20.0,40.0,0.8,1.4,11.0,11.6,6.2,6.2,5.8,3.6,1.6,1.0,14.6,11.4,2012,1
1,29,0,0,2,-9,20.0,0.0,1.0,0.8,9.6,8.4,4.2,5.2,5.0,4.8,1.8,1.4,11.0,16.4,2012,2
2,27,0,1,2,2,20.0,40.0,1.4,0.8,16.0,6.2,9.2,3.2,4.8,3.6,1.8,2.4,10.4,14.0,2012,2
12,0,2,2,1,4,40.0,80.0,1.0,2.6,17.8,13.8,11.6,9.2,5.8,6.8,2.2,1.2,12.8,10.2,2012,2
23,22,0,1,2,0,20.0,0.0,1.2,1.4,13.6,10.2,5.6,6.8,3.8,3.8,1.8,2.4,16.2,20.8,2012,2
