HomeTeam,AwayTeam,HomeGoals,AwayGoals,StandingDiff,HomeWins,AwayWins,AvgHomeGoals,AvgAwayGoals,AvgHomeShots,AvgAwayShots,AvgHomeShotsOnTarget,AvgAwayShotsOnTarget,AvgHomeCorners,AvgAwayCorners,AvgHomeGoalsConceded,AvgAwayGoalsConceded,AvgHomeShotsConceded,AvgAwayShotsConceded,Year,Day,FTR
7,29,0,1,6,20.0,20.0,0.2,1.6,11.2,11.4,4.0,3.0,4.2,4.8,0.4,2.6,13.8,15.8,2016,13,0
10,32,0,1,1,40.0,0.0,0.8,0.6,14.8,10.4,4.8,2.0,8.0,5.4,0.8,1.2,12.2,16.4,2016,13,0
11,30,1,1,8,40.0,40.0,1.6,2.0,11.4,18.6,5.0,5.8,5.2,7.2,1.4,1.6,14.4,14.0,2016,13,1
14,16,2,1,17,20.0,60.0,0.8,1.2,14.2,14.2,4.4,5.0,6.0,6.6,1.4,0.4,11.4,15.2,2016,13,2
18,28,2,1,-13,60.0,20.0,2.4,1.6,17.2,10.6,4.8,3.8,8.8,3.8,0.8,1.0,7.8,16.8,2016,13,2
26,31,1,1,-7,80.0,20.0,3.0,0.8,16.8,10.0,5.6,4.0,7.2,3.4,1.4,2.6,11.2,18.0,2016,13,1
0,17,3,4,-6,80.0,40.0,2.4,1.6,17.2,14.8,7.0,5.2,6.4,5.4,0.2,1.8,7.6,15.8,2016,14,0
4,19,1,3,11,20.0,40.0,1.2,0.8,13.2,7.0,3.8,1.8,5.8,5.0,2.6,1.4,14.8,15.8,2016,14,0
9,33,2,1,3,0.0,40.0,1.2,2.2,16.6,15.4,5.0,5.2,8.6,7.2,1.8,1.6,14.8,13.0,2016,15,2
19,26,2,0,-1,80.0,60.0,1.6,1.8,14.4,13.2,5.4,3.8,8.4,7.0,0.4,1.2,8.0,13.4,2016,19,2
7,17,2,0,10,0.0,40.0,0.0,2.0,11.2,14.2,3.8,5.6,5.2,5.0,0.6,2.2,13.0,14.8,2016,20,2
16,0,0,0,-1,80.0,20.0,2.2,1.8,15.4,11.4,4.8,4.4,6.2,4.0,0.6,1.4,12.0,15.8,2016,20,1
27,18,1,4,5,20.0,40.0,1.2,2.2,11.0,11.8,3.2,6.0,3.4,3.2,2.0,1.2,16.0,9.0,2016,20,0
29,14,0,2,-6,80.0,20.0,1.4,0.6,10.8,14.4,4.0,3.8,3.6,6.8,0.4,1.4,11.4,10.0,2016,20,0
30,10,1,0,-12,40.0,0.0,2.0,0.8,19.6,9.8,7.0,2.8,6.8,5.0,1.0,2.0,8.6,16.6,2016,20,2
31,9,1,2,3,20.0,40.0,1.4,2.2,14.4,11.4,5.0,5.8,6.8,4.8,1.6,1.2,9.6,16.6,2016,20,0
32,11,1,2,3,20.0,0.0,0.4,0.4,12.6,10.0,2.4,4.6,6.4,4.6,1.2,2.2,8.0,22.8,2016,20,0
33,4,1,0,-9,40.0,40.0,2.4,1.4,20.0,10.6,6.6,2.0,6.8,4.6,2.4,2.0,9.2,12.2,2016,21,2
9,7,3,0,-8,20.0,40.0,1.4,0.4,15.8,9.4,4.8,2.2,8.4,3.8,1.8,0.8,13.0,21.4,2016,27,2
10,4,1,1,-1,40.0,20.0,0.6,0.8,14.8,9.0,4.8,2.0,7.4,5.0,0.6,2.0,11.0,12.4,2016,27,1
11,27,1,0,2,40.0,20.0,1.4,1.0,10.8,11.4,4.6,3.0,4.4,3.6,1.0,2.4,13.6,12.6,2016,27,2
14,19,0,1,13,40.0,60.0,0.8,1.4,13.2,7.8,3.8,3.0,5.8,4.4,1.0,1.4,13.4,15.8,2016,27,0
16,29,2,1,-11,60.0,40.0,2.0,1.4,15.0,12.4,4.8,4.0,5.0,5.0,0.6,2.0,12.0,15.4,2016,27,2
26,28,1,1,-11,80.0,20.0,3.0,1.6,18.4,9.8,5.8,3.8,6.0,4.6,1.4,1.2,10.0,16.8,2016,27,1
30,17,1,1,-5,60.0,40.0,1.8,1.6,18.4,15.8,5.8,4.8,7.0,6.4,0.6,2.0,8.6,12.2,2016,27,1
31,0,1,3,11,20.0,20.0,1.6,1.4,13.4,12.0,4.6,4.4,6.2,5.0,1.8,1.0,9.4,12.2,2016,27,0
18,33,3,1,-3,60.0,20.0,2.0,1.8,16.0,13.4,3.8,4.8,8.8,6.2,1.0,1.6,8.8,13.2,2016,28,2
0,26,2,1,-4,60.0,40.0,2.2,1.4,15.2,13.6,5.6,3.2,5.8,6.2,1.0,1.4,9.6,13.2,2016,10,2
4,32,1,0,2,0.0,20.0,0.8,0.8,12.6,12.4,3.6,2.6,5.6,6.0,2.8,1.2,14.6,14.8,2016,10,2
7,14,1,1,0,20.0,40.0,0.4,1.0,8.8,14.4,3.4,3.6,4.4,6.4,0.6,1.4,15.8,9.6,2016,10,1
17,16,4,1,7,60.0,40.0,2.6,1.2,22.2,15.0,7.4,4.6,7.0,5.6,0.8,0.8,9.2,15.8,2016,10,2
19,18,1,2,1,80.0,40.0,1.8,2.2,14.8,11.2,6.0,5.8,8.2,3.8,0.4,1.4,9.2,8.4,2016,10,0
27,30,0,4,6,20.0,20.0,1.2,1.8,10.0,17.4,3.4,5.0,4.6,6.8,2.4,1.8,16.2,14.2,2016,10,0
